country;;AT (total heat demand MW)
2017-03-25T18:00:00Z;2017-03-25T19:00:00;8977
2017-03-25T19:00:00Z;2017-03-25T20:00:00;8728
2017-03-25T20:00:00Z;2017-03-25T21:00:00;7859
2017-03-25T21:00:00Z;2017-03-25T22:00:00;6039
2017-03-25T22:00:00Z;2017-03-25T23:00:00;4744
2017-03-25T23:00:00Z;2017-03-26T00:00:00;3925
2017-03-26T00:00:00Z;2017-03-26T01:00:00;4147
2017-03-26T01:00:00Z;2017-03-26T02:00:00;4255
2017-03-26T02:00:00Z;2017-03-26T03:00:00;4723
2017-03-26T03:00:00Z;2017-03-26T04:00:00;5883
2017-03-26T04:00:00Z;2017-03-26T05:00:00;8290
2017-03-26T05:00:00Z;2017-03-26T06:00:00;9988
2017-03-26T06:00:00Z;2017-03-26T07:00:00;9723
2017-03-26T07:00:00Z;2017-03-26T08:00:00;9221
2017-03-26T08:00:00Z;2017-03-26T09:00:00;8616
2017-03-26T09:00:00Z;2017-03-26T10:00:00;8066
2017-03-26T10:00:00Z;2017-03-26T11:00:00;7639
2017-03-26T11:00:00Z;2017-03-26T12:00:00;7406
2017-03-26T12:00:00Z;2017-03-26T13:00:00;7288
2017-03-26T13:00:00Z;2017-03-26T14:00:00;7304
2017-03-26T14:00:00Z;2017-03-26T15:00:00;7445
2017-03-26T15:00:00Z;2017-03-26T16:00:00;7759
2017-03-26T16:00:00Z;2017-03-26T17:00:00;8093
2017-03-26T17:00:00Z;2017-03-26T18:00:00;8258
2017-03-26T18:00:00Z;2017-03-26T19:00:00;8382
2017-03-26T19:00:00Z;2017-03-26T20:00:00;8169
2017-03-26T20:00:00Z;2017-03-26T21:00:00;7396
2017-03-26T21:00:00Z;2017-03-26T22:00:00;5672
2017-03-26T22:00:00Z;2017-03-26T23:00:00;4340
2017-03-26T23:00:00Z;2017-03-27T00:00:00;4372
2017-03-27T00:00:00Z;2017-03-27T01:00:00;4615
2017-03-27T01:00:00Z;2017-03-27T02:00:00;4716
2017-03-27T02:00:00Z;2017-03-27T03:00:00;5176
2017-03-27T03:00:00Z;2017-03-27T04:00:00;6333
2017-03-27T04:00:00Z;2017-03-27T05:00:00;8756
2017-03-27T05:00:00Z;2017-03-27T06:00:00;10634
2017-03-27T06:00:00Z;2017-03-27T07:00:00;10333
2017-03-27T07:00:00Z;2017-03-27T08:00:00;9924
2017-03-27T08:00:00Z;2017-03-27T09:00:00;9303
2017-03-27T09:00:00Z;2017-03-27T10:00:00;8777
2017-03-27T10:00:00Z;2017-03-27T11:00:00;8359
2017-03-27T11:00:00Z;2017-03-27T12:00:00;8125
2017-03-27T12:00:00Z;2017-03-27T13:00:00;7995
2017-03-27T13:00:00Z;2017-03-27T14:00:00;8074
2017-03-27T14:00:00Z;2017-03-27T15:00:00;8231
2017-03-27T15:00:00Z;2017-03-27T16:00:00;8569
2017-03-27T16:00:00Z;2017-03-27T17:00:00;8904
2017-03-27T17:00:00Z;2017-03-27T18:00:00;9063
2017-03-27T18:00:00Z;2017-03-27T19:00:00;9090
2017-03-27T19:00:00Z;2017-03-27T20:00:00;8823
2017-03-27T20:00:00Z;2017-03-27T21:00:00;7961
2017-03-27T21:00:00Z;2017-03-27T22:00:00;6157
2017-03-27T22:00:00Z;2017-03-27T23:00:00;4837
2017-03-27T23:00:00Z;2017-03-28T00:00:00;4606
2017-03-28T00:00:00Z;2017-03-28T01:00:00;4796
2017-03-28T01:00:00Z;2017-03-28T02:00:00;4900
2017-03-28T02:00:00Z;2017-03-28T03:00:00;5423
2017-03-28T03:00:00Z;2017-03-28T04:00:00;6665
2017-03-28T04:00:00Z;2017-03-28T05:00:00;9296
2017-03-28T05:00:00Z;2017-03-28T06:00:00;11104
2017-03-28T06:00:00Z;2017-03-28T07:00:00;10646
2017-03-28T07:00:00Z;2017-03-28T08:00:00;10151
2017-03-28T08:00:00Z;2017-03-28T09:00:00;9540
2017-03-28T09:00:00Z;2017-03-28T10:00:00;8963
2017-03-28T10:00:00Z;2017-03-28T11:00:00;8655
2017-03-28T11:00:00Z;2017-03-28T12:00:00;8395
2017-03-28T12:00:00Z;2017-03-28T13:00:00;8106
2017-03-28T13:00:00Z;2017-03-28T14:00:00;8111
2017-03-28T14:00:00Z;2017-03-28T15:00:00;8342
2017-03-28T15:00:00Z;2017-03-28T16:00:00;8778
2017-03-28T16:00:00Z;2017-03-28T17:00:00;9227
2017-03-28T17:00:00Z;2017-03-28T18:00:00;9441
2017-03-28T18:00:00Z;2017-03-28T19:00:00;9413
2017-03-28T19:00:00Z;2017-03-28T20:00:00;9178
2017-03-28T20:00:00Z;2017-03-28T21:00:00;8309
2017-03-28T21:00:00Z;2017-03-28T22:00:00;6522
2017-03-28T22:00:00Z;2017-03-28T23:00:00;5095
2017-03-28T23:00:00Z;2017-03-29T00:00:00;4448
2017-03-29T00:00:00Z;2017-03-29T01:00:00;4828
2017-03-29T01:00:00Z;2017-03-29T03:00:00;5287
2017-03-29T02:00:00Z;2017-03-29T04:00:00;6661
2017-03-29T03:00:00Z;2017-03-29T05:00:00;9347
2017-03-29T04:00:00Z;2017-03-29T06:00:00;10351
2017-03-29T05:00:00Z;2017-03-29T07:00:00;9797
2017-03-29T06:00:00Z;2017-03-29T08:00:00;9264
2017-03-29T07:00:00Z;2017-03-29T09:00:00;8770
2017-03-29T08:00:00Z;2017-03-29T10:00:00;8259
2017-03-29T09:00:00Z;2017-03-29T11:00:00;7980
2017-03-29T10:00:00Z;2017-03-29T12:00:00;7766
2017-03-29T11:00:00Z;2017-03-29T13:00:00;7638
2017-03-29T12:00:00Z;2017-03-29T14:00:00;7803
2017-03-29T13:00:00Z;2017-03-29T15:00:00;7951
2017-03-29T14:00:00Z;2017-03-29T16:00:00;8391
2017-03-29T15:00:00Z;2017-03-29T17:00:00;8862
2017-03-29T16:00:00Z;2017-03-29T18:00:00;9038
2017-03-29T17:00:00Z;2017-03-29T19:00:00;9081
2017-03-29T18:00:00Z;2017-03-29T20:00:00;8926
2017-03-29T19:00:00Z;2017-03-29T21:00:00;8054
2017-03-29T20:00:00Z;2017-03-29T22:00:00;6350
2017-03-29T21:00:00Z;2017-03-29T23:00:00;4962
2017-03-29T22:00:00Z;2017-03-30T00:00:00;4457
2017-03-29T23:00:00Z;2017-03-30T01:00:00;4728
2017-03-30T00:00:00Z;2017-03-30T02:00:00;4832
2017-03-30T01:00:00Z;2017-03-30T03:00:00;5361
2017-03-30T02:00:00Z;2017-03-30T04:00:00;6572
2017-03-30T03:00:00Z;2017-03-30T05:00:00;9030
2017-03-30T04:00:00Z;2017-03-30T06:00:00;10761
2017-03-30T05:00:00Z;2017-03-30T07:00:00;10439
2017-03-30T06:00:00Z;2017-03-30T08:00:00;9973
2017-03-30T07:00:00Z;2017-03-30T09:00:00;9383
2017-03-30T08:00:00Z;2017-03-30T10:00:00;8856
2017-03-30T09:00:00Z;2017-03-30T11:00:00;8399
2017-03-30T10:00:00Z;2017-03-30T12:00:00;8209
2017-03-30T11:00:00Z;2017-03-30T13:00:00;8083
2017-03-30T12:00:00Z;2017-03-30T14:00:00;8146
2017-03-30T13:00:00Z;2017-03-30T15:00:00;8323
2017-03-30T14:00:00Z;2017-03-30T16:00:00;8721
2017-03-30T15:00:00Z;2017-03-30T17:00:00;9095
2017-03-30T16:00:00Z;2017-03-30T18:00:00;9301
2017-03-30T17:00:00Z;2017-03-30T19:00:00;9324
2017-03-30T18:00:00Z;2017-03-30T20:00:00;9032
2017-03-30T19:00:00Z;2017-03-30T21:00:00;8141
2017-03-30T20:00:00Z;2017-03-30T22:00:00;6290
2017-03-30T21:00:00Z;2017-03-30T23:00:00;4930
2017-03-30T22:00:00Z;2017-03-31T00:00:00;4319
2017-03-30T23:00:00Z;2017-03-31T01:00:00;4575
2017-03-31T00:00:00Z;2017-03-31T02:00:00;4673
2017-03-31T01:00:00Z;2017-03-31T03:00:00;5186
2017-03-31T02:00:00Z;2017-03-31T04:00:00;6387
2017-03-31T03:00:00Z;2017-03-31T05:00:00;8808
2017-03-31T04:00:00Z;2017-03-31T06:00:00;10530
2017-03-31T05:00:00Z;2017-03-31T07:00:00;10235
2017-03-31T06:00:00Z;2017-03-31T08:00:00;9832
2017-03-31T07:00:00Z;2017-03-31T09:00:00;9184
2017-03-31T08:00:00Z;2017-03-31T10:00:00;8632
2017-03-31T09:00:00Z;2017-03-31T11:00:00;8215
2017-03-31T10:00:00Z;2017-03-31T12:00:00;8003
2017-03-31T11:00:00Z;2017-03-31T13:00:00;7905
2017-03-31T12:00:00Z;2017-03-31T14:00:00;7975
2017-03-31T13:00:00Z;2017-03-31T15:00:00;8144
2017-03-31T14:00:00Z;2017-03-31T16:00:00;8496
2017-03-31T15:00:00Z;2017-03-31T17:00:00;8864
2017-03-31T16:00:00Z;2017-03-31T18:00:00;8982
2017-03-31T17:00:00Z;2017-03-31T19:00:00;9025
2017-03-31T18:00:00Z;2017-03-31T20:00:00;8777
2017-03-31T19:00:00Z;2017-03-31T21:00:00;7898
2017-03-31T20:00:00Z;2017-03-31T22:00:00;6061
2017-03-31T21:00:00Z;2017-03-31T23:00:00;4750
2017-03-31T22:00:00Z;2017-04-01T00:00:00;5336
2017-03-31T23:00:00Z;2017-04-01T01:00:00;5606
2017-04-01T00:00:00Z;2017-04-01T02:00:00;5734
2017-04-01T01:00:00Z;2017-04-01T03:00:00;6280
2017-04-01T02:00:00Z;2017-04-01T04:00:00;7535
2017-04-01T03:00:00Z;2017-04-01T05:00:00;10319
2017-04-01T04:00:00Z;2017-04-01T06:00:00;12295
2017-04-01T05:00:00Z;2017-04-01T07:00:00;11932
2017-04-01T06:00:00Z;2017-04-01T08:00:00;11537
2017-04-01T07:00:00Z;2017-04-01T09:00:00;10892
2017-04-01T08:00:00Z;2017-04-01T10:00:00;10306
2017-04-01T09:00:00Z;2017-04-01T11:00:00;9837
2017-04-01T10:00:00Z;2017-04-01T12:00:00;9590
2017-04-01T11:00:00Z;2017-04-01T13:00:00;9474
2017-04-01T12:00:00Z;2017-04-01T14:00:00;9559
2017-04-01T13:00:00Z;2017-04-01T15:00:00;9743
2017-04-01T14:00:00Z;2017-04-01T16:00:00;10146
2017-04-01T15:00:00Z;2017-04-01T17:00:00;10508
2017-04-01T16:00:00Z;2017-04-01T18:00:00;10597
2017-04-01T17:00:00Z;2017-04-01T19:00:00;10588
2017-04-01T18:00:00Z;2017-04-01T20:00:00;10279
2017-04-01T19:00:00Z;2017-04-01T21:00:00;9266
2017-04-01T20:00:00Z;2017-04-01T22:00:00;7222
2017-04-01T21:00:00Z;2017-04-01T23:00:00;5775
2017-04-01T22:00:00Z;2017-04-02T00:00:00;6038
2017-04-01T23:00:00Z;2017-04-02T01:00:00;6313
2017-04-02T00:00:00Z;2017-04-02T02:00:00;6457
2017-04-02T01:00:00Z;2017-04-02T03:00:00;7010
2017-04-02T02:00:00Z;2017-04-02T04:00:00;8267
2017-04-02T03:00:00Z;2017-04-02T05:00:00;11282
2017-04-02T04:00:00Z;2017-04-02T06:00:00;13420
2017-04-02T05:00:00Z;2017-04-02T07:00:00;13011
2017-04-02T06:00:00Z;2017-04-02T08:00:00;12625
2017-04-02T07:00:00Z;2017-04-02T09:00:00;12011
2017-04-02T08:00:00Z;2017-04-02T10:00:00;11411
2017-04-02T09:00:00Z;2017-04-02T11:00:00;10912
2017-04-02T10:00:00Z;2017-04-02T12:00:00;10630
2017-04-02T11:00:00Z;2017-04-02T13:00:00;10511
2017-04-02T12:00:00Z;2017-04-02T14:00:00;10602
2017-04-02T13:00:00Z;2017-04-02T15:00:00;10793
2017-04-02T14:00:00Z;2017-04-02T16:00:00;11225
2017-04-02T15:00:00Z;2017-04-02T17:00:00;11573
2017-04-02T16:00:00Z;2017-04-02T18:00:00;11630
2017-04-02T17:00:00Z;2017-04-02T19:00:00;11580
2017-04-02T18:00:00Z;2017-04-02T20:00:00;11234
2017-04-02T19:00:00Z;2017-04-02T21:00:00;10142
2017-04-02T20:00:00Z;2017-04-02T22:00:00;7993
2017-04-02T21:00:00Z;2017-04-02T23:00:00;6469
2017-04-02T22:00:00Z;2017-04-03T00:00:00;6190
2017-04-02T23:00:00Z;2017-04-03T01:00:00;6441
2017-04-03T00:00:00Z;2017-04-03T02:00:00;6603
2017-04-03T01:00:00Z;2017-04-03T03:00:00;7086
2017-04-03T02:00:00Z;2017-04-03T04:00:00;8290
2017-04-03T03:00:00Z;2017-04-03T05:00:00;11314
2017-04-03T04:00:00Z;2017-04-03T06:00:00;13649
2017-04-03T05:00:00Z;2017-04-03T07:00:00;13207
2017-04-03T06:00:00Z;2017-04-03T08:00:00;12820
2017-04-03T07:00:00Z;2017-04-03T09:00:00;12238
2017-04-03T08:00:00Z;2017-04-03T10:00:00;11679
2017-04-03T09:00:00Z;2017-04-03T11:00:00;11186
2017-04-03T10:00:00Z;2017-04-03T12:00:00;10873
2017-04-03T11:00:00Z;2017-04-03T13:00:00;10724
2017-04-03T12:00:00Z;2017-04-03T14:00:00;10827
2017-04-03T13:00:00Z;2017-04-03T15:00:00;11006
2017-04-03T14:00:00Z;2017-04-03T16:00:00;11442
2017-04-03T15:00:00Z;2017-04-03T17:00:00;11753
2017-04-03T16:00:00Z;2017-04-03T18:00:00;11839
2017-04-03T17:00:00Z;2017-04-03T19:00:00;11762
2017-04-03T18:00:00Z;2017-04-03T20:00:00;11381
2017-04-03T19:00:00Z;2017-04-03T21:00:00;10301
2017-04-03T20:00:00Z;2017-04-03T22:00:00;8184
2017-04-03T21:00:00Z;2017-04-03T23:00:00;6642
2017-04-03T22:00:00Z;2017-04-04T00:00:00;6306
2017-04-03T23:00:00Z;2017-04-04T01:00:00;6435
2017-04-04T00:00:00Z;2017-04-04T02:00:00;6636
2017-04-04T01:00:00Z;2017-04-04T03:00:00;7120
2017-04-04T02:00:00Z;2017-04-04T04:00:00;8314
2017-04-04T03:00:00Z;2017-04-04T05:00:00;11466
2017-04-04T04:00:00Z;2017-04-04T06:00:00;13674
2017-04-04T05:00:00Z;2017-04-04T07:00:00;13030
2017-04-04T06:00:00Z;2017-04-04T08:00:00;12597
2017-04-04T07:00:00Z;2017-04-04T09:00:00;12066
2017-04-04T08:00:00Z;2017-04-04T10:00:00;11513
2017-04-04T09:00:00Z;2017-04-04T11:00:00;11163
2017-04-04T10:00:00Z;2017-04-04T12:00:00;10799
2017-04-04T11:00:00Z;2017-04-04T13:00:00;10583
2017-04-04T12:00:00Z;2017-04-04T14:00:00;10603
2017-04-04T13:00:00Z;2017-04-04T15:00:00;10785
2017-04-04T14:00:00Z;2017-04-04T16:00:00;11299
2017-04-04T15:00:00Z;2017-04-04T17:00:00;11722
2017-04-04T16:00:00Z;2017-04-04T18:00:00;11822
2017-04-04T17:00:00Z;2017-04-04T19:00:00;11712
2017-04-04T18:00:00Z;2017-04-04T20:00:00;11343
2017-04-04T19:00:00Z;2017-04-04T21:00:00;10367
2017-04-04T20:00:00Z;2017-04-04T22:00:00;8284
2017-04-04T21:00:00Z;2017-04-04T23:00:00;6744
2017-04-04T22:00:00Z;2017-04-05T00:00:00;6673
2017-04-04T23:00:00Z;2017-04-05T01:00:00;6894
2017-04-05T00:00:00Z;2017-04-05T02:00:00;6937
2017-04-05T01:00:00Z;2017-04-05T03:00:00;7526
2017-04-05T02:00:00Z;2017-04-05T04:00:00;8963
2017-04-05T03:00:00Z;2017-04-05T05:00:00;12241
2017-04-05T04:00:00Z;2017-04-05T06:00:00;13678
2017-04-05T05:00:00Z;2017-04-05T07:00:00;12933
2017-04-05T06:00:00Z;2017-04-05T08:00:00;12583
2017-04-05T07:00:00Z;2017-04-05T09:00:00;12103
2017-04-05T08:00:00Z;2017-04-05T10:00:00;11586
2017-04-05T09:00:00Z;2017-04-05T11:00:00;11269
2017-04-05T10:00:00Z;2017-04-05T12:00:00;10955
2017-04-05T11:00:00Z;2017-04-05T13:00:00;10838
2017-04-05T12:00:00Z;2017-04-05T14:00:00;11013
2017-04-05T13:00:00Z;2017-04-05T15:00:00;11241
2017-04-05T14:00:00Z;2017-04-05T16:00:00;11661
2017-04-05T15:00:00Z;2017-04-05T17:00:00;12156
2017-04-05T16:00:00Z;2017-04-05T18:00:00;12255
2017-04-05T17:00:00Z;2017-04-05T19:00:00;12156
2017-04-05T18:00:00Z;2017-04-05T20:00:00;11841
2017-04-05T19:00:00Z;2017-04-05T21:00:00;10814
2017-04-05T20:00:00Z;2017-04-05T22:00:00;8668
2017-04-05T21:00:00Z;2017-04-05T23:00:00;7187
2017-04-05T22:00:00Z;2017-04-06T00:00:00;7000
2017-04-05T23:00:00Z;2017-04-06T01:00:00;7217
2017-04-06T00:00:00Z;2017-04-06T02:00:00;7390
2017-04-06T01:00:00Z;2017-04-06T03:00:00;7945
2017-04-06T02:00:00Z;2017-04-06T04:00:00;9123
2017-04-06T03:00:00Z;2017-04-06T05:00:00;12336
2017-04-06T04:00:00Z;2017-04-06T06:00:00;14705
2017-04-06T05:00:00Z;2017-04-06T07:00:00;14139
2017-04-06T06:00:00Z;2017-04-06T08:00:00;13783
2017-04-06T07:00:00Z;2017-04-06T09:00:00;13285
2017-04-06T08:00:00Z;2017-04-06T10:00:00;12723
2017-04-06T09:00:00Z;2017-04-06T11:00:00;12193
2017-04-06T10:00:00Z;2017-04-06T12:00:00;11861
2017-04-06T11:00:00Z;2017-04-06T13:00:00;11762
2017-04-06T12:00:00Z;2017-04-06T14:00:00;11826
2017-04-06T13:00:00Z;2017-04-06T15:00:00;12004
2017-04-06T14:00:00Z;2017-04-06T16:00:00;12464
2017-04-06T15:00:00Z;2017-04-06T17:00:00;12860
2017-04-06T16:00:00Z;2017-04-06T18:00:00;12908
2017-04-06T17:00:00Z;2017-04-06T19:00:00;12785
2017-04-06T18:00:00Z;2017-04-06T20:00:00;12287
2017-04-06T19:00:00Z;2017-04-06T21:00:00;11196
2017-04-06T20:00:00Z;2017-04-06T22:00:00;9025
2017-04-06T21:00:00Z;2017-04-06T23:00:00;7419
2017-04-06T22:00:00Z;2017-04-07T00:00:00;6667
2017-04-06T23:00:00Z;2017-04-07T01:00:00;6917
2017-04-07T00:00:00Z;2017-04-07T02:00:00;7073
2017-04-07T01:00:00Z;2017-04-07T03:00:00;7609
2017-04-07T02:00:00Z;2017-04-07T04:00:00;8792
2017-04-07T03:00:00Z;2017-04-07T05:00:00;11906
2017-04-07T04:00:00Z;2017-04-07T06:00:00;14240
2017-04-07T05:00:00Z;2017-04-07T07:00:00;13742
2017-04-07T06:00:00Z;2017-04-07T08:00:00;13384
2017-04-07T07:00:00Z;2017-04-07T09:00:00;12801
2017-04-07T08:00:00Z;2017-04-07T10:00:00;12210
2017-04-07T09:00:00Z;2017-04-07T11:00:00;11699
2017-04-07T10:00:00Z;2017-04-07T12:00:00;11391
2017-04-07T11:00:00Z;2017-04-07T13:00:00;11261
2017-04-07T12:00:00Z;2017-04-07T14:00:00;11348
2017-04-07T13:00:00Z;2017-04-07T15:00:00;11554
2017-04-07T14:00:00Z;2017-04-07T16:00:00;12010
2017-04-07T15:00:00Z;2017-04-07T17:00:00;12334
2017-04-07T16:00:00Z;2017-04-07T18:00:00;12339
2017-04-07T17:00:00Z;2017-04-07T19:00:00;12258
2017-04-07T18:00:00Z;2017-04-07T20:00:00;11884
2017-04-07T19:00:00Z;2017-04-07T21:00:00;10763
2017-04-07T20:00:00Z;2017-04-07T22:00:00;8627
2017-04-07T21:00:00Z;2017-04-07T23:00:00;7069
2017-04-07T22:00:00Z;2017-04-08T00:00:00;5668
2017-04-07T23:00:00Z;2017-04-08T01:00:00;5932
2017-04-08T00:00:00Z;2017-04-08T02:00:00;6065
2017-04-08T01:00:00Z;2017-04-08T03:00:00;6620
2017-04-08T02:00:00Z;2017-04-08T04:00:00;7878
2017-04-08T03:00:00Z;2017-04-08T05:00:00;10733
2017-04-08T04:00:00Z;2017-04-08T06:00:00;12833
2017-04-08T05:00:00Z;2017-04-08T07:00:00;12424
2017-04-08T06:00:00Z;2017-04-08T08:00:00;12036
2017-04-08T07:00:00Z;2017-04-08T09:00:00;11371
2017-04-08T08:00:00Z;2017-04-08T10:00:00;10773
2017-04-08T09:00:00Z;2017-04-08T11:00:00;10289
2017-04-08T10:00:00Z;2017-04-08T12:00:00;10029
2017-04-08T11:00:00Z;2017-04-08T13:00:00;9901
2017-04-08T12:00:00Z;2017-04-08T14:00:00;9986
2017-04-08T13:00:00Z;2017-04-08T15:00:00;10181
2017-04-08T14:00:00Z;2017-04-08T16:00:00;10598
2017-04-08T15:00:00Z;2017-04-08T17:00:00;10965
2017-04-08T16:00:00Z;2017-04-08T18:00:00;11039
2017-04-08T17:00:00Z;2017-04-08T19:00:00;11025
2017-04-08T18:00:00Z;2017-04-08T20:00:00;10699
2017-04-08T19:00:00Z;2017-04-08T21:00:00;9657
2017-04-08T20:00:00Z;2017-04-08T22:00:00;7591
2017-04-08T21:00:00Z;2017-04-08T23:00:00;6105
2017-04-08T22:00:00Z;2017-04-09T00:00:00;4624
2017-04-08T23:00:00Z;2017-04-09T01:00:00;4883
2017-04-09T00:00:00Z;2017-04-09T02:00:00;4988
2017-04-09T01:00:00Z;2017-04-09T03:00:00;5512
2017-04-09T02:00:00Z;2017-04-09T04:00:00;6731
2017-04-09T03:00:00Z;2017-04-09T05:00:00;9235
2017-04-09T04:00:00Z;2017-04-09T06:00:00;11027
2017-04-09T05:00:00Z;2017-04-09T07:00:00;10709
2017-04-09T06:00:00Z;2017-04-09T08:00:00;10326
2017-04-09T07:00:00Z;2017-04-09T09:00:00;9669
2017-04-09T08:00:00Z;2017-04-09T10:00:00;9106
2017-04-09T09:00:00Z;2017-04-09T11:00:00;8676
2017-04-09T10:00:00Z;2017-04-09T12:00:00;8456
2017-04-09T11:00:00Z;2017-04-09T13:00:00;8349
2017-04-09T12:00:00Z;2017-04-09T14:00:00;8427
2017-04-09T13:00:00Z;2017-04-09T15:00:00;8599
2017-04-09T14:00:00Z;2017-04-09T16:00:00;8964
2017-04-09T15:00:00Z;2017-04-09T17:00:00;9332
2017-04-09T16:00:00Z;2017-04-09T18:00:00;9441
2017-04-09T17:00:00Z;2017-04-09T19:00:00;9468
2017-04-09T18:00:00Z;2017-04-09T20:00:00;9199
2017-04-09T19:00:00Z;2017-04-09T21:00:00;8279
2017-04-09T20:00:00Z;2017-04-09T22:00:00;6395
2017-04-09T21:00:00Z;2017-04-09T23:00:00;5054
2017-04-09T22:00:00Z;2017-04-10T00:00:00;3524
2017-04-09T23:00:00Z;2017-04-10T01:00:00;3740
2017-04-10T00:00:00Z;2017-04-10T02:00:00;3819
2017-04-10T01:00:00Z;2017-04-10T03:00:00;4237
2017-04-10T02:00:00Z;2017-04-10T04:00:00;5337
2017-04-10T03:00:00Z;2017-04-10T05:00:00;7565
2017-04-10T04:00:00Z;2017-04-10T06:00:00;9278
2017-04-10T05:00:00Z;2017-04-10T07:00:00;9043
2017-04-10T06:00:00Z;2017-04-10T08:00:00;8550
2017-04-10T07:00:00Z;2017-04-10T09:00:00;7955
2017-04-10T08:00:00Z;2017-04-10T10:00:00;7443
2017-04-10T09:00:00Z;2017-04-10T11:00:00;7035
2017-04-10T10:00:00Z;2017-04-10T12:00:00;6829
2017-04-10T11:00:00Z;2017-04-10T13:00:00;6682
2017-04-10T12:00:00Z;2017-04-10T14:00:00;6705
2017-04-10T13:00:00Z;2017-04-10T15:00:00;6831
2017-04-10T14:00:00Z;2017-04-10T16:00:00;7115
2017-04-10T15:00:00Z;2017-04-10T17:00:00;7434
2017-04-10T16:00:00Z;2017-04-10T18:00:00;7637
2017-04-10T17:00:00Z;2017-04-10T19:00:00;7767
2017-04-10T18:00:00Z;2017-04-10T20:00:00;7562
2017-04-10T19:00:00Z;2017-04-10T21:00:00;6854
2017-04-10T20:00:00Z;2017-04-10T22:00:00;5237
2017-04-10T21:00:00Z;2017-04-10T23:00:00;3966
2017-04-10T22:00:00Z;2017-04-11T00:00:00;2863
2017-04-10T23:00:00Z;2017-04-11T01:00:00;2924
2017-04-11T00:00:00Z;2017-04-11T02:00:00;3028
2017-04-11T01:00:00Z;2017-04-11T03:00:00;3379
2017-04-11T02:00:00Z;2017-04-11T04:00:00;4440
2017-04-11T03:00:00Z;2017-04-11T05:00:00;6600
2017-04-11T04:00:00Z;2017-04-11T06:00:00;8031
2017-04-11T05:00:00Z;2017-04-11T07:00:00;7829
2017-04-11T06:00:00Z;2017-04-11T08:00:00;7224
2017-04-11T07:00:00Z;2017-04-11T09:00:00;6686
2017-04-11T08:00:00Z;2017-04-11T10:00:00;6213
2017-04-11T09:00:00Z;2017-04-11T11:00:00;5867
2017-04-11T10:00:00Z;2017-04-11T12:00:00;5644
2017-04-11T11:00:00Z;2017-04-11T13:00:00;5361
2017-04-11T12:00:00Z;2017-04-11T14:00:00;5300
2017-04-11T13:00:00Z;2017-04-11T15:00:00;5409
2017-04-11T14:00:00Z;2017-04-11T16:00:00;5650
2017-04-11T15:00:00Z;2017-04-11T17:00:00;5988
2017-04-11T16:00:00Z;2017-04-11T18:00:00;6295
2017-04-11T17:00:00Z;2017-04-11T19:00:00;6503
2017-04-11T18:00:00Z;2017-04-11T20:00:00;6370
2017-04-11T19:00:00Z;2017-04-11T21:00:00;5867
2017-04-11T20:00:00Z;2017-04-11T22:00:00;4487
2017-04-11T21:00:00Z;2017-04-11T23:00:00;3249
2017-04-11T22:00:00Z;2017-04-12T00:00:00;2476
2017-04-11T23:00:00Z;2017-04-12T01:00:00;2664
2017-04-12T00:00:00Z;2017-04-12T02:00:00;2688
2017-04-12T01:00:00Z;2017-04-12T03:00:00;3117
2017-04-12T02:00:00Z;2017-04-12T04:00:00;4242
2017-04-12T03:00:00Z;2017-04-12T05:00:00;6303
2017-04-12T04:00:00Z;2017-04-12T06:00:00;6962
2017-04-12T05:00:00Z;2017-04-12T07:00:00;6774
2017-04-12T06:00:00Z;2017-04-12T08:00:00;6131
2017-04-12T07:00:00Z;2017-04-12T09:00:00;5673
2017-04-12T08:00:00Z;2017-04-12T10:00:00;5293
2017-04-12T09:00:00Z;2017-04-12T11:00:00;5013
2017-04-12T10:00:00Z;2017-04-12T12:00:00;4830
2017-04-12T11:00:00Z;2017-04-12T13:00:00;4675
2017-04-12T12:00:00Z;2017-04-12T14:00:00;4695
2017-04-12T13:00:00Z;2017-04-12T15:00:00;4768
2017-04-12T14:00:00Z;2017-04-12T16:00:00;5011
2017-04-12T15:00:00Z;2017-04-12T17:00:00;5301
2017-04-12T16:00:00Z;2017-04-12T18:00:00;5560
2017-04-12T17:00:00Z;2017-04-12T19:00:00;5796
2017-04-12T18:00:00Z;2017-04-12T20:00:00;5726
2017-04-12T19:00:00Z;2017-04-12T21:00:00;5238
2017-04-12T20:00:00Z;2017-04-12T22:00:00;4024
2017-04-12T21:00:00Z;2017-04-12T23:00:00;2890
2017-04-12T22:00:00Z;2017-04-13T00:00:00;2448
2017-04-12T23:00:00Z;2017-04-13T01:00:00;2599
2017-04-13T00:00:00Z;2017-04-13T02:00:00;2696
2017-04-13T01:00:00Z;2017-04-13T03:00:00;3057
2017-04-13T02:00:00Z;2017-04-13T04:00:00;3995
2017-04-13T03:00:00Z;2017-04-13T05:00:00;5931
2017-04-13T04:00:00Z;2017-04-13T06:00:00;7277
2017-04-13T05:00:00Z;2017-04-13T07:00:00;7101
2017-04-13T06:00:00Z;2017-04-13T08:00:00;6471
2017-04-13T07:00:00Z;2017-04-13T09:00:00;6016
2017-04-13T08:00:00Z;2017-04-13T10:00:00;5563
2017-04-13T09:00:00Z;2017-04-13T11:00:00;5185
2017-04-13T10:00:00Z;2017-04-13T12:00:00;4980
2017-04-13T11:00:00Z;2017-04-13T13:00:00;4844
2017-04-13T12:00:00Z;2017-04-13T14:00:00;4783
